id,atk,def,enabled,effect,attribute,stars,spell_type,type,pendulum,monster
4098,2000,1700,True,fusion normal monsters,Earth,6,?,Beast Warrior,0,Normal
4099,1500,1700,True,normal monsters,Earth,5,?,Warrior,0,Normal
4100,1600,1400,True,normal monsters,Earth,5,?,Dragon,0,Normal
4101,1350,1400,True,effect monsters,Dark,4,?,Fiend,0,Normal
4102,1500,0,True,normal monsters,Dark,3,?,Zombie,0,Normal
4103,1600,0,True,normal monsters,Dark,3,?,Zombie,0,Normal
4104,1350,0,True,normal monsters,Dark,2,?,Zombie,0,Normal
4105,1800,2000,True,effect monsters,Dark,6,?,Zombie,0,Normal
4106,700,1000,True,normal monsters,Earth,3,?,Warrior,0,Normal
4107,700,600,True,normal monsters,Fire,2,?,Pyro,0,Normal
4108,900,400,True,effect monsters,Dark,2,?,Fiend,0,Normal
4109,800,1300,True,normal monsters,Dark,3,?,Fiend,0,Normal
4110,600,500,True,normal monsters,Dark,2,?,Spellcaster,0,Normal
4111,500,400,True,normal monsters,Earth,2,?,Dinosaur,0,Normal
4112,1700,1400,True,normal monsters,Wind,5,?,Spellcaster,0,Normal
4113,800,600,True,normal monsters,Dark,2,?,Warrior,0,Normal
4114,700,900,True,normal monsters,Dark,3,?,Zombie,0,Normal
4115,1200,1000,True,effect monsters,Light,4,?,Fairy,0,Normal
4116,1100,1000,True,normal monsters,Earth,3,?,Warrior,0,Normal
4117,1600,1400,True,normal monsters,Dark,5,?,Fairy,0,Normal
4118,1200,1000,True,normal monsters,Dark,4,?,Fiend,0,Normal
4119,800,900,True,normal monsters,Earth,3,?,Beast,0,Normal
4120,1000,700,True,effect monsters,Light,3,?,Spellcaster,0,Normal
4121,1300,1100,True,fusion normal monsters,Dark,4,?,Spellcaster,0,Normal
4122,900,800,True,normal monsters,Earth,3,?,Insect,0,Normal
4123,1400,1200,True,normal monsters,Wind,4,?,Winged Beast,0,Normal
4124,1000,1000,True,normal monsters,Earth,3,?,Warrior,0,Normal
4125,1300,900,True,normal monsters,Dark,4,?,Fiend,0,Normal
4126,1200,900,True,effect monsters,Earth,3,?,Warrior,0,Normal
4127,700,1700,True,normal monsters,Earth,4,?,Beast,0,Normal
4128,900,300,True,normal monsters,Wind,2,?,Dragon,0,Normal
4129,300,400,True,normal monsters,Dark,1,?,Plant,0,Normal
4130,1700,1400,True,normal monsters,Dark,5,?,Machine,0,Normal
4131,1500,1100,True,normal monsters,Wind,4,?,Winged Beast,0,Normal
4132,1800,1500,True,normal monsters,Light,5,?,Fairy,0,Normal
4133,1700,1200,True,normal monsters,Earth,5,?,Warrior,0,Normal
4134,1200,1700,True,normal monsters,Light,5,?,Spellcaster,0,Normal
4135,800,700,True,normal monsters,Dark,3,?,Spellcaster,0,Normal
4136,600,400,True,normal monsters,Light,2,?,Fairy,0,Normal
4137,1600,1400,True,normal monsters,Water,5,?,Aqua,0,Normal
4138,1200,900,True,normal monsters,Dark,3,?,Zombie,0,Normal
4139,1100,800,True,fusion normal monsters,Fire,3,?,Pyro,0,Normal
4140,700,700,True,normal monsters,Light,2,?,Fairy,0,Normal
4141,600,600,True,normal monsters,Dark,2,?,Zombie,0,Normal
4142,1400,1300,True,normal monsters,Dark,4,?,Fiend,0,Normal
4143,500,500,True,normal monsters,Dark,2,?,Fiend,0,Normal
4144,1100,900,True,normal monsters,Earth,3,?,Warrior,0,Normal
4145,900,700,True,normal monsters,Dark,3,?,Zombie,0,Normal
4146,1000,1000,True,normal monsters,Water,3,?,Aqua,0,Normal
4147,700,1300,True,normal monsters,Dark,3,?,Insect,0,Normal
4148,900,1000,True,normal monsters,Fire,3,?,Spellcaster,0,Normal
4149,800,900,True,normal monsters,Dark,3,?,Spellcaster,0,Normal
4150,700,900,True,normal monsters,Wind,3,?,Spellcaster,0,Normal
4151,700,700,True,normal monsters,Dark,2,?,Spellcaster,0,Normal
4152,900,1300,True,normal monsters,Dark,4,?,Zombie,0,Normal
4153,600,900,True,normal monsters,Earth,3,?,Warrior,0,Normal
4154,800,700,True,normal monsters,Dark,3,?,Fiend,0,Normal
4155,1400,1200,True,normal monsters,Dark,4,?,Fiend,0,Normal
4156,1700,1400,True,normal monsters,Water,5,?,Aqua,0,Normal
4157,1200,1300,True,normal monsters,Earth,4,?,Warrior,0,Normal
4158,500,700,True,normal monsters,Water,2,?,Aqua,0,Normal
4159,900,1200,True,normal monsters,Dark,3,?,Zombie,0,Normal
4160,700,500,True,normal monsters,Dark,2,?,Zombie,0,Normal
4161,800,1000,True,normal monsters,Earth,3,?,Beast,0,Normal
4162,300,1200,True,normal monsters,Earth,3,?,Warrior,0,Normal
4163,700,600,True,normal monsters,Earth,2,?,Plant,0,Normal
4164,800,600,True,normal monsters,Earth,2,?,Plant,0,Normal
4165,500,800,True,normal monsters,Earth,2,?,Beast,0,Normal
4166,1000,500,True,normal monsters,Earth,3,?,Warrior,0,Normal
4167,500,1000,True,normal monsters,Earth,3,?,Warrior,0,Normal
4168,1250,800,True,effect monsters,Dark,3,?,Fiend,0,Normal
4169,1300,1300,True,normal monsters,Earth,4,?,Beast,0,Normal
4170,1300,1000,True,normal monsters,Dark,4,?,Fiend,0,Normal
4171,1400,700,True,normal monsters,Earth,3,?,Warrior,0,Normal
4172,1000,1500,True,effect monsters,Earth,4,?,Warrior,0,Normal
4173,400,200,True,normal monsters,Earth,1,?,Rock,0,Normal
4174,1500,1250,True,fusion normal monsters,Dark,4,?,Dragon,0,Normal
4175,1200,800,True,normal monsters,Dark,3,?,Fiend,0,Normal
4176,800,2000,True,normal monsters,Light,4,?,Fairy,0,Normal
4177,1200,1000,True,effect monsters,Dark,4,?,Fiend,0,Normal
4178,700,1300,True,normal monsters,Earth,3,?,Warrior,0,Normal
4179,600,1000,True,normal monsters,Dark,3,?,Fiend,0,Normal
4180,900,200,True,normal monsters,Wind,2,?,Spellcaster,0,Normal
4181,1000,700,True,normal monsters,Dark,3,?,Fiend,0,Normal
4182,800,600,True,normal monsters,Fire,2,?,Pyro,0,Normal
4183,800,1000,True,normal monsters,Water,3,?,Aqua,0,Normal
4184,1000,800,True,normal monsters,Dark,3,?,Fiend,0,Normal
4185,700,600,True,normal monsters,Dark,2,?,Spellcaster,0,Normal
4186,800,1000,True,normal monsters,Earth,3,?,Plant,0,Normal
4187,1000,1000,True,normal monsters,Wind,3,?,Fiend,0,Normal
4188,500,700,True,normal monsters,Dark,2,?,Warrior,0,Normal
4189,600,800,True,normal monsters,Light,2,?,Spellcaster,0,Normal
4190,600,900,True,normal monsters,Light,3,?,Spellcaster,0,Normal
4191,600,500,True,normal monsters,Earth,2,?,Warrior,0,Normal
4192,1100,1400,True,normal monsters,Light,4,?,Winged Beast,0,Normal
4193,700,800,True,normal monsters,Dark,3,?,Beast,0,Normal
4194,800,900,True,normal monsters,Earth,3,?,Beast,0,Normal
4195,900,700,True,fusion normal monsters,Earth,3,?,Beast,0,Normal
4196,1000,800,True,normal monsters,Dark,3,?,Spellcaster,0,Normal
4197,600,600,True,normal monsters,Wind,2,?,Thunder,0,Normal
4198,400,300,True,normal monsters,Light,1,?,Fairy,0,Normal
4199,1000,1500,True,normal monsters,Water,4,?,Aqua,0,Normal
4200,1200,1300,True,normal monsters,Dark,4,?,Fiend,0,Normal
4201,900,500,True,normal monsters,Earth,2,?,Warrior,0,Normal
4202,1000,1200,True,normal monsters,Water,4,?,Aqua,0,Normal
4203,500,400,True,normal monsters,Dark,2,?,Zombie,0,Normal
4204,800,500,True,normal monsters,Light,2,?,Fairy,0,Normal
4205,900,800,True,effect monsters,Water,3,?,Aqua,0,Normal
4206,600,700,True,normal monsters,Wind,2,?,Dragon,0,Normal
4207,1200,1000,True,normal monsters,Earth,4,?,Beast,0,Normal
4208,400,600,True,normal monsters,Earth,2,?,Beast,0,Normal
4209,600,800,True,normal monsters,Dark,2,?,Zombie,0,Normal
4210,1700,1400,True,normal monsters,Dark,5,?,Fiend,0,Normal
4211,900,800,True,normal monsters,Water,3,?,Aqua,0,Normal
4212,900,700,True,normal monsters,Water,3,?,Aqua,0,Normal
4213,600,500,True,normal monsters,Wind,2,?,Winged Beast,0,Normal
4214,600,900,True,normal monsters,Light,3,?,Fairy,0,Normal
4215,700,700,True,normal monsters,Earth,2,?,Insect,0,Normal
4216,600,500,True,normal monsters,Fire,2,?,Pyro,0,Normal
4217,700,600,True,normal monsters,Wind,2,?,Thunder,0,Normal
4218,700,600,True,normal monsters,Earth,2,?,Beast,0,Normal
4219,1200,2000,True,normal monsters,Water,4,?,Spellcaster,0,Normal
4220,800,400,True,normal monsters,Earth,2,?,Warrior,0,Normal
4221,1000,800,True,fusion normal monsters,Dark,3,?,Zombie,0,Normal
4222,1200,1400,True,normal monsters,Earth,4,?,Spellcaster,0,Normal
4223,3200,2500,True,fusion normal monsters,Dark,9,?,Dragon,0,Normal
4224,900,700,True,normal monsters,Earth,3,?,Dinosaur,0,Normal
4225,1050,1000,True,normal monsters,Earth,3,?,Beast Warrior,0,Normal
4226,900,1400,True,effect monsters,Dark,4,?,Spellcaster,0,Normal
4227,700,1400,True,normal monsters,Earth,3,?,Insect,0,Normal
4228,800,600,True,normal monsters,Dark,2,?,Fiend,0,Normal
4229,2100,1800,True,fusion normal monsters,Water,6,?,Aqua,0,Normal
4230,500,1100,True,effect monsters,Earth,3,?,Warrior,0,Normal
4231,1400,800,True,normal monsters,Dark,4,?,Warrior,0,Normal
4232,900,800,True,normal monsters,Dark,3,?,Warrior,0,Normal
4233,600,700,True,normal monsters,Water,2,?,Aqua,0,Normal
4234,1000,900,True,normal monsters,Dark,3,?,Zombie,0,Normal
4235,700,600,True,normal monsters,Light,2,?,Fairy,0,Normal
4236,1500,1200,True,fusion normal monsters,Water,4,?,Fish,0,Normal
4237,800,1200,True,normal monsters,Earth,3,?,Warrior,0,Normal
4238,600,800,True,normal monsters,Dark,2,?,Fiend,0,Normal
4239,1300,1100,True,normal monsters,Dark,4,?,Fiend,0,Normal
4240,1600,800,True,normal monsters,Earth,4,?,Warrior,0,Normal
4241,900,1200,True,effect monsters,Earth,3,?,Warrior,0,Normal
4242,1000,1200,True,normal monsters,Earth,4,?,Warrior,0,Normal
4243,500,500,True,normal monsters,Earth,2,?,Rock,0,Normal
4244,800,600,True,normal monsters,Earth,2,?,Plant,0,Normal
4245,900,700,True,normal monsters,Dark,3,?,Warrior,0,Normal
4246,700,800,True,normal monsters,Dark,3,?,Fiend,0,Normal
4247,1200,1200,True,normal monsters,Dark,4,?,Zombie,0,Normal
4248,600,600,True,normal monsters,Dark,2,?,Fiend,0,Normal
4249,900,700,True,normal monsters,Water,3,?,Aqua,0,Normal
4250,900,1000,True,normal monsters,Earth,3,?,Rock,0,Normal
4251,800,400,True,normal monsters,Dark,2,?,Fiend,0,Normal
4252,1100,1000,True,normal monsters,Earth,4,?,Beast Warrior,0,Normal
4253,900,800,True,normal monsters,Water,3,?,Fish,0,Normal
4254,1200,1000,True,normal monsters,Earth,4,?,Beast,0,Normal
4255,1400,1200,True,normal monsters,Water,4,?,Aqua,0,Normal
4256,800,1200,True,normal monsters,Water,3,?,Warrior,0,Normal
4257,1200,900,True,normal monsters,Water,3,?,Fish,0,Normal
4258,1100,900,True,normal monsters,Earth,3,?,Beast,0,Normal
4259,800,1000,True,normal monsters,Dark,3,?,Spellcaster,0,Normal
4260,500,750,True,normal monsters,Dark,2,?,Fiend,0,Normal
4261,500,2000,True,normal monsters,Earth,4,?,Beast,0,Normal
4262,1200,1000,True,effect monsters,Earth,4,?,Warrior,0,Normal
4263,800,1200,True,normal monsters,Earth,3,?,Rock,0,Normal
4264,1000,1100,True,effect monsters,Water,4,?,Aqua,0,Normal
4265,1000,1300,True,normal monsters,Dark,4,?,Spellcaster,0,Normal
4266,750,1100,True,normal monsters,Light,3,?,Fairy,0,Normal
4267,700,600,True,normal monsters,Dark,2,?,Fiend,0,Normal
4268,800,1300,True,effect monsters,Water,3,?,Warrior,0,Normal
4269,700,1400,True,normal monsters,Earth,3,?,Rock,0,Normal
4270,500,1300,True,normal monsters,Light,3,?,Fairy,0,Normal
4271,800,700,True,normal monsters,Water,3,?,Aqua,0,Normal
4272,900,700,True,effect monsters,Wind,3,?,Warrior,0,Normal
4273,1000,500,True,normal monsters,Dark,3,?,Warrior,0,Normal
4274,700,500,True,normal monsters,Dark,2,?,Spellcaster,0,Normal
4275,1100,900,True,effect monsters,Dark,3,?,Fiend,0,Normal
4276,1000,900,True,normal monsters,Water,3,?,Aqua,0,Normal
4277,900,600,True,normal monsters,Dark,3,?,Fiend,0,Normal
4278,1300,900,True,fusion normal monsters,Wind,4,?,Winged Beast,0,Normal
4279,600,1500,True,normal monsters,Earth,3,?,Plant,0,Normal
4280,500,1600,True,normal monsters,Earth,3,?,Plant,0,Normal
4281,1500,1000,True,normal monsters,Earth,4,?,Machine,0,Normal
4282,1000,1000,True,normal monsters,Light,3,?,Fairy,0,Normal
4283,300,1300,True,normal monsters,Dark,3,?,Fiend,0,Normal
4284,300,200,True,normal monsters,Earth,1,?,Insect,0,Normal
4285,1000,900,True,normal monsters,Dark,3,?,Fiend,0,Normal
4286,800,1500,True,normal monsters,Earth,4,?,Warrior,0,Normal
4287,1500,1000,True,normal monsters,Dark,4,?,Fiend,0,Normal
4288,800,1000,True,normal monsters,Earth,3,?,Beast,0,Normal
4289,1100,700,True,normal monsters,Earth,3,?,Machine,0,Normal
4290,1200,900,True,normal monsters,Earth,3,?,Spellcaster,0,Normal
4291,700,600,True,normal monsters,Earth,2,?,Reptile,0,Normal
4292,1500,1800,True,normal monsters,Dark,5,?,Machine,0,Normal
4293,1200,1400,True,normal monsters,Earth,4,?,Beast Warrior,0,Normal
4294,600,1400,True,effect monsters,Dark,3,?,Fiend,0,Normal
4295,400,300,True,normal monsters,Water,1,?,Aqua,0,Normal
4296,1100,1000,True,normal monsters,Light,4,?,Warrior,0,Normal
4297,1300,1000,True,normal monsters,Fire,4,?,Pyro,0,Normal
4298,400,1000,True,normal monsters,Water,2,?,Aqua,0,Normal
4299,1100,1100,True,normal monsters,Earth,4,?,Warrior,0,Normal
4300,1200,900,True,fusion normal monsters,Wind,3,?,Warrior,0,Normal
4301,600,1300,True,normal monsters,Dark,3,?,Fiend,0,Normal
4302,700,1300,True,normal monsters,Wind,3,?,Dragon,0,Normal
4303,1400,1200,True,normal monsters,Dark,4,?,Machine,0,Normal
4304,900,900,True,normal monsters,Wind,3,?,Dragon,0,Normal
4305,1200,900,True,normal monsters,Earth,3,?,Warrior,0,Normal
4306,800,800,True,normal monsters,Wind,3,?,Winged Beast,0,Normal
4307,0,0,True,spell,Spell,0,Equip,Spell,0,?
4308,0,0,True,spell,Spell,0,Equip,Spell,0,?
4309,0,0,True,spell,Spell,0,Equip,Spell,0,?
4310,0,0,True,spell,Spell,0,Equip,Spell,0,?
